,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
ASN Origin : 58552,,,,,,,,,,,,,,,,
Router : Router-2-Transit,,,,,,,,,,,,,,,,
IP Name : PT Arya Azahra Arthama ,,,,,,,,,,,,,,,,
v1804-mro2-IPT-mx204,,,,,,,,,,,,,,,,
103.143.223.0/24,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,2,,3,,4,,5,,6,,7,,8,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,,0,3,0,,0,,0,,0,,0,,0,,
PT Lintas Teknologi Solusindo,3524,4,7,,7,,,,,,,,,,,B
PT Mulkan Sarana Solusi,1645,8,11,8,,,,,,,,,,,,
Petro One Indonesia,1373,12,15,,15,,15,,,,,,,,,
Lima Menara Bintang,1374,16,19,16,,16,,,,,,,,,,
PT Tower Bersama,1847,20,23,,23,,,,,,,,,,,
,,24,27,24,,,,,,,,,,,,
garuda-lintas-cakrawala,,28,31,,31,,31,,31,,,,,,,
netzap,1144,32,35,32,,32,,32,,,,,,,,
,,36,39,,39,,,,,,,,,,,
laxo-as149359,2056,40,43,40,,,,,,,,,,,,
Sandya Trial,1853,44,47,,47,,47,,,,,,,,,
,,48,51,48,,48,,,,,,,,,,
Jaya Sejahtera Nugraha New,1496,52,55,,55,,,,,,,,,,,
citra-prima-media,,56,59,56,,,,,,,,,,,,
"""PT Profesional Internet Indonesia",1925,60,63,,63,,63,,63,,63,,,,,
PT Applewifi Selalu Lancar,2826,64,67,64,,64,,64,,64,,,,,,
arsya bintang,2040,68,71,,71,,,,,,,,,,,
Rajeg Net,2041,72,75,72,,,,,,,,,,,,
mahawira,2043,76,79,,79,,79,,,,,,,,,
Airlink trial,2190,80,83,80,,80,,,,,,,,,,
PT Smart Teknologi Utama,2311,84,87,,87,,,,,,,,,,,
bena bentala new,395,88,91,88,,,,,,,,,,,,
Berlian optical solution ,2316,92,95,,95,,95,,95,,,,,,,
PT Solo Jala Buana,2317,96,99,96,,96,,96,,,,,,,,
Lintas daya nusantara,2320,100,103,,103,,,,,,,,,,,
PT Dharma Sarana Solusindo,2324,104,107,104,,,,,,,,,,,,
PT BIG Network Indonesia,2405,108,111,,111,,111,,,,,,,,,
Gastra,,112,115,112,,112,,,,,,,,,,
PT Digital Media Telematika,2325,116,119,,119,,,,,,,,,,,
Airlink PT Juara Network Tegal,2306,120,123,120,,,,,,,,,,,,
mahawira-backup,2044,124,127,,127,,127,,127,,127,,127,,,
PT Nusa Data Multimedia,2853,128,131,128,,128,,128,,128,,128,,,,
Book airlink,,132,135,,135,,,,,,,,,,,
Book Arsya bintang,,136,139,136,,,,,,,,,,,,
book bena bentala,,140,143,,143,,143,,,,,,,,,
PT Lentera Abadi,,144,147,144,,144,,,,,,,,,,
book bignetwork,,148,151,,151,,,,,,,,,,,
book PT Dharma Sarana Solusindo,,152,155,152,,,,,,,,,,,,
book PT Digital Media Telematika,,156,159,,159,,159,,159,,,,,,,
book PT Telemedia Dinamika Sarana,,160,163,160,,160,,160,,,,,,,,
book gastra PT Graha Anugerah Sejahtera,,164,167,,167,,,,,,,,,,,
book PT Juara Network Tegal,,168,171,168,,,,,,,,,,,,
book lima menara bintang,,172,175,,175,,175,,,,,,,,,
book PT Mahawira Nusantara Grup,,176,179,176,,176,,,,,,,,,,
book PT Solusi Aksesindo Pratama Netzap,,180,183,,183,,,,,,,,,,,
book PT Nusa Data Multimedia,,184,187,184,,,,,,,,,,,,
book PETRO ONE INDONESIA,,188,191,,191,,191,,191,,191,,,,,
book PT Profesional Internet Indonesia,,192,195,192,,192,,192,,192,,,,,,
book PT Solo Jala Buana,,196,199,,199,,,,,,,,,,,
Artha lintas data mandiri,2127,200,203,200,,,,,,,,,,,,
PTP IPT2 <> ls-1-PNI,2416,204,207,,207,,207,,,,,,,,,
,,208,211,208,,208,,,,,,,,,,
,,212,215,,215,,,,,,,,,,,
,,216,219,216,,,,,,,,,,,,
,,220,223,,223,,223,,223,,,,,,,
,,224,227,224,,224,,224,,,,,,,,
,,228,229,,231,,,,,,,,,,,
v1018-ls-sdi-nap-to-IPT-204 /31,1018,230,231,,,,,,,,,,,,,
IPT2 TO CONTEN CAMPUR,,232,233,,,,,,,,,,,,,
IPT TO LS0 MULTI IX MX304,,234,235,232,,,,,,,,,,,,
di pake di router ls agg untuk ptp,,236,237,,239,,239,,,,,,,,,
di pake di router ls agg untuk ptp,,238,239,,,,,,,,,,,,,
v1904-PE3-LS-MRO,1904,240,241,240,,240,,,,,,,,,,
LS SDI NAP SG,2584,242,243,,,,,,,,,,,,,
4-upstream-mx304 -- /31,2223,244,245,,247,,,,,,,,,,,
idle,,246,247,,,,,,,,,,,,,
idle,,248,249,248,,,,,,,,,,,,
idle,,250,251,,,,,,,,,,,,,
idle,,252,253,,255,,255,,255,,255,,255,,255,
,,254,255,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255
