,,,,,,,,,,,,,,,,,
,IP Blok 116.68.160.0/24,,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,,2,,3,,4,,5,,6,,7,,8,,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,server nexmedia-tv,,0,3,0,,0,,0,,0,,0,,0,,
,,,4,7,,7,,,,,,,,,,,B
,,,8,11,8,,,,                ,,,,,,,,
,,,12,15,,15,,15,,,,,,,,,
,,,16,19,16,,,,,,,,,,,,
,Ihub site Serua Depok,2173,20,23,,23,,,,,,,,,,,
,PT Graha Perdana Indah (PT Evergen Resources),2683,24,27,24,,,,,,,,,,,,
,jalawave colo,,28,31,,31,,31,,31,,,,,,,
,,,32,35,32,,32,,32,,,,,,,,
,,,36,39,,39,,,,,,,,,,,
,HUB Digital tambahan ip,,40,43,40,,,,,,,,,,,,
,Cybermantra Next Center,1540,44,47,,47,,47,,,,,,,,,
,TNCC (SDI-Net),1446,48,51,48,,48,,,,,,,,,,
,,,52,55,,55,,,,,,,,,,,
,Luwuk Diskominfo,,56,59,56,,,,,,,,,,,,
,PT Sangkuriang BIN,339,60,63,,63,,63,,63,,63,,,,,
,PT Artha Media Lintas Nusa Site Airnav | 125240001,2099,64,67,64,,64,,64,,64,,,,,,
,PT Surya Muara Emas (Pejaten),335,68,71,,71,,,,,,,,,,,
,,,72,75,72,,,,,,,,,,,,
,DIST D3 BROADBAND-2,/32,76,79,,79,,79,,,,,,,,,
,,,80,83,80,,80,,,,,,,,,,
,,,84,87,,87,,,,,,,,,,,
,,,88,91,88,,,,,,,,,,,,
,Remote mx80 Equinix,666,92,95,,95,,95,,95,,,,,,,
,PT Nirwana Multi Utama site BSSN Ragunan,54,96,99,96,,96,,96,,,,,,,,
,,,100,103,,103,,,,,,,,,,,
,,,104,107,104,,,,,,,,,,,,
,,,108,111,,111,,111,,,,,,,,,
,AL-AZAR Kemang bekasi ,2167,112,115,112,,112,,,,,,,,,,
,Indonesia Hub Digital Tambahan (4-mar-19),489,116,119,,119,,,,,,,,,,,
,PT Nirwana Multi Utama site BSSN Ragunan,54,120,123,120,,,,,,,,,,,,
,,,124,127,,127,,127,,127,,127,,127,,,
,Pushubad,2722,128,131,128,,128,,128,,128,,128,,,,
,,,132,135,,135,,,,,,,,,,,
,Kompolnas,2478,136,139,136,,,,,,,,,,,,
,Embbasy NEW,2704,140,143,,143,,143,,,,,,,,,
,Alhamidiyah,2188,144,147,144,,144,,,,,,,,,,
,,,148,151,,151,,,,,,,,,,,
,Pusdiklat,2843,152,155,152,,,,,,,,,,,,
,PT HFZ Network,2420,156,159,,159,,159,,159,,,,,,,
,Remot MX204 SG,,160,163,160,,160,,160,,,,,,,,
,Remot QFX 48y SG,,164,167,,167,,,,,,,,,,,
,Remot QFX32c SG,,168,171,168,,,,,,,,,,,,
,BPR,,172,175,,175,,175,,,,,,,,,
,"""PT Tanesia site Lao You",,176,179,176,,176,,,,,,,,,,
,Museum Basoeki /32,,180,183,,183,,,,,,,,,,,
,,,184,187,184,,,,,,,,,,,,
,,,188,191,,191,,191,,191,,191,,,,,
,Indonesia Hub Digital (SDI-AOS),489,192,195,192,,192,,192,,192,,,,,,
,Bapak Bripda Imam Bareskrim Gambir,2199,196,199,,199,,,,,,,,,,,
,PT Nara Teknologi Germaindo,,200,203,200,,,,,,,,,,,,
,,,204,207,,207,,207,,,,,,,,,
,PT Trira Inti Utama,,208,211,208,,208,,,,,,,,,,
,SMA AL-Azhar 4,2167,212,215,,215,,,,,,,,,,,
,MTN Pejaten,746,216,219,216,,,,,,,,,,,,
,,,220,223,,223,,223,,223,,,,,,,
,server speedtes,,224,227,224,,224,,224,,,,,,,,
,,,228,231,,231,,,,,,,,,,,
,Diskominta Nganjuk,,232,235,232,,,,,,,,,,,,
,ROuter Tio nganjuk,,236,239,,239,,239,,,,,,,,,
,,,240,243,240,,240,,,,,,,,,,
,,,244,245,,247,,,,,,,,,,,
,/31 LS SDI NAP SG,2586,246,247,,,,,,,,,,,,,
,Remote QFX ISC,4004,248,251,248,,,,,,,,,,,,
,remote mx204-pe1 /31,50,252,253,,255,,255,,255,,255,,255,,255,
,idle /31,,254,255,,,,,,,,,,,,,
