cgs,,,,,,,,,,,,,,,,,
,IP Blok 116.68.164.0/24 Surabaya,,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.240,,0.224,,0.192,,0.128,,0,,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,,2,,3,,4,,5,,6,,7,,8,,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,agg multi ix,1198,0,1,0,,0,,0,,0,,0,,0,,
,agg ipt,1200,2,3,,,,,,,,,,,,,
,local exchange,1768,4,5,,7,,,,,,,,,,,B
,agg ipt via lintas /31,1201,6,7,,,,,,,,,,,,,
,agg multi ix via lintas /31,1199,8,9,8,,,,,,,,,,,,
,v1764-loc-exch-to-sby-lintas,,10,11,,,,,,,,,,,,,
,v1765-mconnect-304-to-sby-icon,,12,13,,15,,15,,,,,,,,,
,,,14,15,,,,,,,,,,,,,
,PT Zigma Teknologi Indonesia (Migrasi),,16,19,16,,16,,,,,,,,,,
,PT Trans Hybrid Communication (ASN24534) Migrasi,,20,23,,23,,,,,,,,,,,
,PT Trans Hybrid Communication (ASN153068) Migrasi,,24,27,24,,,,,,,,,,,,
,PT Dasen Data Center Transit (Migrasi),,28,31,,31,,31,,31,,,,,,,
,PT Delta Surya Solusitama (Migrasi),,32,35,32,,32,,32,,,,,,,,
,PT Remala,19,36,39,,39,,,,,,,,,,,
,KAF,2216,40,43,40,,,,,,,,,,,,
,dasen multi transit,,44,47,,47,,47,,,,,,,,,
,dasen multi ix,,48,51,48,,48,,,,,,,,,,
,PTP SBY to IPT,705,52,55,,55,,,,,,,,,,,
,PT Alpha Medianusa Solusindo,2109,56,59,56,,,,,,,,,,,,
,Delta Surya Multi Tranist,,60,63,,63,,63,,63,,63,,,,,
,Delta Surya Multi IX,,64,67,64,,64,,64,,64,,,,,,
,PT Trans Hybrid Communication,,68,71,,71,,,,,,,,,,,
,PT Evolution Karya Lintas Data,2219,72,75,72,,,,,,,,,,,,
,PT Trans Hybrid Communication,,76,79,,79,,79,,,,,,,,,
,PT Evolution Karya Lintas Data,2120,80,83,80,,80,,,,,,,,,,
,PT Pratama,2381,84,87,,87,,,,,,,,,,,
,THC-Nusantara Global Exc,2341,88,91,88,,,,,,,,,,,,
,PT Evolution Karya Lintas Data,2217,92,95,,95,,95,,95,,,,,,,
,PT Dutakom Wibawa Putra,1088,96,99,96,,96,,96,,,,,,,,
,LS Equinix dist SBY,1350,100,103,,103,,,,,,,,,,,
,PT Evolution Karya Lintas Data,,104,107,104,,,,,,,,,,,,
,PT PERSADA DATA MULTIMEDIA,2115,108,111,,111,,111,,,,,,,,,
,PT Anugerag Media Data Nusantara,2218,112,115,112,,112,,,,,,,,,,
,laxo multicontent pdm,2635,116,119,,119,,,,,,,,,,,
,LDN IIX only,3083,120,123,120,,,,,,,,,,,,
,,,124,127,,127,,127,,127,,127,,127,,,
,LDN,,128,131,128,,128,,128,,128,,128,,,,
,zigma,,132,135,,135,,,,,,,,,,,
,PT Arjuna Lancar Teknologi ipt (Migrasi) ,,136,139,136,,,,,,,,,,,,
,PT Lintas Daya Nusantara ipt (Migrasi),,140,143,,143,,143,,,,,,,,,
,PT Dasen Data Center zetta IX(Migrasi),,144,147,144,,144,,,,,,,,,,
,PT Delta Surya Solusitama tranist (Migrasi),,148,151,,151,,,,,,,,,,,
,Laxo as149359 PDM zetta ix (Migrasi),,152,155,152,,,,,,,,,,,,
,PT Lintas Daya Nusantar zetta ix (Migrasi,,156,159,,159,,159,,159,,,,,,,
,Al falah ,,160,163,160,,160,,160,,,,,,,,
,lintas daya new ,,164,167,,167,,,,,,,,,,,
,Alton Mitra Sejahtera,1296,168,171,168,,,,,,,,,,,,
,inet mikrotik mx204,809,172,175,,175,,175,,,,,,,,,
,LS Zetta Plus to LS Zetta Transit,,176,177,176,,176,,,,,,,,,,
,LS Zetta Plus to LS Zetta IX,,178,179,,,,,,,,,,,,,
,LS Zetta Plus to LS Local Exchange,,180,181,,183,,,,,,,,,,,
,LS Zetta IX to LS Zetta Connect,unit 14,182,183,,,,,,,,,,,,,
,LS Zetta Transit to LS Zetta Connect,,184,185,184,,,,,,,,,,,,
,LS-Zetta-IX to AGG Zetta IX PE0,529,186,187,,,,,,,,,,,,,
,to ls ncix pe1 /31,1609,188,189,,191,,191,,191,,191,,,,,
,to ls nttix pe1 /31,,190,191,,,,,,,,,,,,,
,,,192,195,192,,192,,192,,192,,,,,,
,,,196,199,,199,,,,,,,,,,,
,,,200,203,200,,,,,,,,,,,,
,,,204,207,,207,,207,,,,,,,,,
,,,208,211,208,,208,,,,,,,,,,
,,,212,215,,215,,,,,,,,,,,
,,,216,219,216,,,,,,,,,,,,
,zetta transit to ls google sdi pe1,,220,221,,223,,223,,223,,,,,,,
,ptp interface lt ls z-cix <> ls z-ix,unit 18,222,223,,,,,,,,,,,,,
,ptp interface lt ls z-cix <> ls z-connect,unit 20,224,225,224,,224,,224,,,,,,,,
,ptp lt ls cix to main ro,,226,227,,231,,,,,,,,,,,
,ls-cix-via-icon-kediri,,228,229,,,,,,,,,,,,,
,ls local excahnge <> dasen,,230,231,232,,,,,,,,,,,,
,ls multi ix omadata <> dasen,,232,233,,,,,,,,,,,,,
,ipt omdata <> dasen,/31,234,235,,,,,,,,,,,,,
,ls cix,/31,236,237,,,,,,,,,,,,,
,,/31,238,239,,239,,239,,,,,,,,,
,"""uplink multi-ix dari mx204 kediri""",/31,240,241,240,,240,,,,,,,,,,
,"""localexcahnge via mx204 kediri""",/31,242,243,,,,,,,,,,,,,
,"""PTP LOCAL EXCHANGE to ls content",/31,244,245,,247,,,,,,,,,,,
2,PTP LS LOCAL EXCHANGE,/31,246,247,,,,,,,,,,,,,
,"""PTP Multi-IX to ls content",/31,248,249,248,,,,,,,,,,,,
,"""PTP LS IPT SBY""",/31,250,251,,,,,,,,,,,,,
,"""PTP LS Multi-IX SBY""",/31,252,253,,255,,255,,255,,255,,255,,255,
,"""PTP CONTENT""",/31,254,255,,,,,,,,,,,,,
