i,,,,,,,,,,,,,,,,
202.72.199.0/24,,,,,,,,,,,,,,,,
Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,2,,3,,4,,5,,6,,7,,8,,
Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
fb-ntt,1384,0,3,0,,0,,0,,0,,0,,0,,
fna-pe1,1385,4,7,,7,,,,,,,,,,,B
ggc-new-cluster-dps1,1386,8,11,8,,,,,,,,,,,,
ipt-m204,1387,12,15,,15,,15,,,,,,,,,
SSR DIGITAL INFORMATIKA,1388,16,19,16,,16,,,,,,,,,,
ls-akamai,1389,20,23,,23,,,,,,,,,,,
ls-equinix-sg1,1390,24,27,24,,,,,,,,,,,,
ls-google-cloud,1391,28,31,,31,,31,,31,,,,,,,
ls-google-mrp,1392,32,35,32,,32,,32,,,,,,,,
ls-google-pe1,1393,36,39,,39,,,,,,,,,,,
ls-microsoft,1394,40,43,40,,,,,,,,,,,,
ls-netflix,1395,44,47,,47,,47,,,,,,,,,
ls-nttix,1396,48,51,48,,48,,,,,,,,,,
ls-transit-sg,1397,52,55,,55,,,,,,,,,,,
sdiix-mx960,1398,56,59,56,,,,,,,,,,,,
IPP CITRA AGUNG SEMESTIKA,2632,60,63,,63,,63,,63,,63,,,,,
PT Dian Nuswantoro Teknologi dan Informasi,1536,64,67,64,,64,,64,,64,,,,,,
PT Jaringan RTRWNET Nusantara,1484,68,71,,71,,,,,,,,,,,
BOOK LAXO Surabaya,,72,75,72,,,,,,,,,,,,
PT Solusindo bintang pratama,1556,76,79,,79,,79,,,,,,,,,
,,80,83,80,,80,,,,,,,,,,
CAHYO,1379,84,87,,87,,,,,,,,,,,
BOOK Server Nusantara,,88,91,88,,,,,,,,,,,,
,,92,95,,95,,95,,95,,,,,,,
"Runnet pinjam /29, karena akses .go.id, 1/10/24",,96,99,96,,96,,96,,,,,,,,
,,100,103,,103,,,,,,,,,,,
"PT Solusi Basis Teknologi,",1641,104,107,104,,,,,,,,,,,,
PT Tele Globe Global,1644,108,111,,111,,111,,,,,,,,,
PT Loveika Host Nusantara,1642,112,115,112,,112,,,,,,,,,,
gmedia BIP,1648,116,119,,119,,,,,,,,,,,
,,120,123,120,,,,,,,,,,,,
,,124,127,,127,,127,,127,,127,,127,,,
ESTIKO,1871,128,131,128,,128,,128,,128,,128,,,,
fiberlink,2363,132,135,,135,,,,,,,,,,,
PT Infrastruktur Digital Indonesia,1845,136,139,136,,,,,,,,,,,,
,,140,143,,143,,143,,,,,,,,,
,,144,147,144,,144,,,,,,,,,,
PT Jaringan Multimedia Cirebon,1847,148,151,,151,,,,,,,,,,,
PT Arka Data Primatama,1101,152,155,152,,,,,,,,,,,,
,,156,159,,159,,159,,159,,,,,,,
PT Kaf Media Nusantara (laxo),2050,160,163,160,,160,,160,,,,,,,,
,,164,167,,167,,,,,,,,,,,
sandya,2777,168,171,168,,,,,,,,,,,,
inovasi teknologi pintar,1921,172,175,,175,,175,,,,,,,,,
laxo new (Laxo Global Akses),2052,176,179,176,,176,,,,,,,,,,
book PT Linea Global Teknologi,2918,180,183,,183,,,,,,,,,,,
migrasi loveika,1646,184,187,184,,,,,,,,,,,,
PT Telemedia Komunikasi Pratama apjii,1869,188,191,,191,,191,,191,,191,,,,,
Trial PT Profesional Internet Indonesia,1924,192,195,192,,192,,192,,192,,,,,,
PT Gading Bhaktu Utama,1902,196,199,,199,,,,,,,,,,,
PT Inter Medialink Solusi (IMS),1761,200,203,200,,,,,,,,,,,,
PT Dinar Wahana Gemilang,,204,207,,207,,207,,,,,,,,,
PT Insan Sarana Telematika (ISATNET),1870,208,211,208,,208,,,,,,,,,,
PT Internet Tjepat Indonesia,2074,212,215,,215,,,,,,,,,,,
PT Asia Akses Utama,1860,216,219,216,,,,,,,,,,,,
ILG,1422,220,223,,223,,223,,223,,,,,,,
PT Telemedia Komunikasi Pratama d3,1869,224,227,224,,224,,224,,,,,,,,
PT ARGON INTERNET Amariqindo,2810,228,231,,231,,,,,,,,,,,
pioner,2486,232,235,232,,,,,,,,,,,,
PT Asri Global Investama,2364,236,239,,239,,239,,,,,,,,,
PT Cipta Trimitra Perkasa,2066,240,243,240,,240,,,,,,,,,,
Runnet,1261,244,247,,247,,,,,,,,,,,
PTP MX204 SBY Omadata,1769,248,249,248,,,,,,,,,,,,
v1807-mro2-multiconnect-pe2,1807,250,251,,,,,,,,,,,,,
PTP Multiconnect 2 to LS-EIE-2 /31,1598,252,253,,255,,255,,255,,255,,255,,255,
PTP Multiconnect 2 to LS-Transit-2 /31,1633,254,255,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,252,255,,255,,255,,255,,255,,255,,255
