,,,,,,,,,,,,,,,,,
,IP Blok 202.72.203.0/24,,,,,,,,,,,,,,,,
,Mask (Dec) :,,0.252,,0.248,,0.24,,0.224,,0.192,,0.128,,0,,
,,,/30,,/29,,/28,,/27,,/26,,/25,,/24,,
,,,2,,3,,4,,5,,6,,7,,8,,
,Alokasi,Vlan,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,Network,Broadcast,
,google pe1,907,0,3,,,0,,0,,0,,0,,0,,
,ls-equinix,906,4,7,,7,,,,,,,,,,,B
,ls-ntt-ix-pe1,914,8,11,8,,,,,,,,,,,,
,ls-akamai-pe1/31,915,12,13,,15,,15,,,,,,,,,
,ls-facebook-peering-pe1 /31,916,14,15,,,,,,,,,,,,,
,ls-fna-cgk-pe1 /31,923,16,17,16,,16,,,,,,,,,,
,ls-gooogle-cloud-pe1 /31,924,18,19,,,,,,,,,,,,,
,ls-content-campur-pe1 /31,925,20,21,,23,,,,,,,,,,,
,ls-netflix-pe1 /31,926,22,23,,,,,,,,,,,,,
,SDIX,908,24,25,24,,,,,,,,,,,,
,,,26,27,,,,,,,,,,,,,
,,,28,31,,31,,31,,31,,,,,,,
,ABS,,32,35,32,,32,,32,,,,,,,,
,PT Dewata Telematika,1547,36,39,,39,,,,,,,,,,,
,PT Trans indonesia superkoridor,1688,40,43,40,,,,,,,,,,,,
,Jaya sejahtera nugraha new,1495,44,47,,47,,47,,,,,,,,,
,PT Telemedia Dinamika Sarana,,48,51,48,,48,,,,,,,,,,
,ex PT Trans indonesia superkoridor,,52,55,,55,,,,,,,,,,,
,Multitech bilateral Peering,1643,56,59,56,,,,,,,,,,,,
,lancar-jaya-network,,60,63,,63,,63,,63,,63,,,,,
,zenlayer,283,64,67,64,,64,,64,,64,,,,,,
,trial jaya sejahtera nugraha,,68,71,,71,,,,,,,,,,,
,v589-kediri-to-sdiix-pe2,,72,75,72,,,,,,,,,,,,
,Delta Surya Multi ix trial aktivasi,,76,79,,79,,79,,,,,,,,,
,PT Infrastruktur Digital Indonesia Trial aktivasi,,80,83,80,,80,,,,,,,,,,
,PT Tower Bersama,1848,84,87,,87,,,,,,,,,,,
,Multi IX (SGIX + Equinix IX + BBIX) LANCAR JAYA,1618,88,91,88,,,,,,,,,,,,
,,,92,95,,95,,95,,95,,,,,,,
,Fibernet,,96,99,96,,96,,96,,,,,,,,
,,,100,103,,103,,,,,,,,,,,
,arana2,481,104,107,104,,,,,,,,,,,,
,gmedia,537,108,111,,111,,111,,,,,,,,,
,media-indo-cyber,355,112,115,112,,112,,,,,,,,,,
,melsa,852,116,119,,119,,,,,,,,,,,
,samudra-kilat,423,120,123,120,,,,,,,,,,,,
,tncc-141667,945,124,127,,127,,127,,127,,127,,127,,,
,tncc-38764,975,128,131,128,,128,,128,,128,,128,,,,
,tncc-cks-datains,683,132,135,,135,,,,,,,,,,,
,tncc-cks-datains2,686,136,139,136,,,,,,,,,,,,
,tncc-truno-as38764,214,140,143,,143,,143,,,,,,,,,
,ski,,144,147,144,,144,,,,,,,,,,
,mega mentari,,148,151,,151,,,,,,,,,,,
,MSN,,152,155,152,,,,,,,,,,,,
,JDN,,156,159,,159,,159,,159,,,,,,,
,Nezap,,160,163,160,,160,,160,,,,,,,,
,,,164,167,,167,,,,,,,,,,,
,laxo,2053,168,171,168,,,,,,,,,,,,
,fibernet cyber,,172,175,,175,,175,,,,,,,,,
,pc24,703,176,179,176,,176,,,,,,,,,,
,PT Golden Network,1923,180,183,,183,,,,,,,,,,,
,Laxo-IAS,2080,184,187,184,,,,,,,,,,,,
,trial asri global,2369,188,191,,191,,191,,191,,191,,,,,
,PT Sandya Sistem Indonesia,,192,195,192,,192,,192,,192,,,,,,
,"""PT Jaringan Multimedia Cirebon",,196,199,,199,,,,,,,,,,,
,PT Applewifi Selalu Lancar,,200,203,200,,,,,,,,,,,,
,arsya,,204,207,,207,,207,,,,,,,,,
,Laxo-IAS-141081 non ggc akamai,,208,211,208,,208,,,,,,,,,,
,,,212,215,,215,,,,,,,,,,,
,,,216,219,216,,,,,,,,,,,,
,,2395,220,223,,223,,223,,223,,,,,,,
,,2396,224,227,224,,224,,224,,,,,,,,
,,/31,228,229,,231,,,,,,,,,,,
,multi304 to ls google jkt pe1,/31 1239,230,231,,,,,,,,,,,,,
,kentik,,232,235,232,,,,,,,,,,,,
,v1903-PE3-Multi-ix,1903,236,239,,239,,239,,,,,,,,,
,v1805-mro2-Multi-ix,/31,240,241,240,,240,,,,,,,,,,
,Kedeiri via lintas,/31,242,243,,,,,,,,,,,,,
,v1690-MULTI-IX-KDR-FS,/31,244,245,,247,,,,,,,,,,,
,v1693-MULTI-IX-KDR-ICON,/31,246,247,,,,,,,,,,,,,
,sdi-connect ,1102,248,249,248,,,,,,,,,,,,
,,,250,251,,,,,,,,,,,,,
,pinang,1104,252,253,,255,,255,,255,,255,,255,,255,
,batam,1105,254,255,,,,,,,,,,,,,
